#include,keyword
<iostream>,keyword
using,keyword
namespace,keyword
std,ID
int,keyword
main,ID
int,keyword
a,ID
b,ID
cin,ID
>>,operator
a,ID
>>,operator
b,ID
while,keyword
b,ID
!=,operator
0,int
int,keyword
temp,ID
=,operator
b,ID
b,ID
=,operator
a,ID
%,operator
b,ID
a,ID
=,operator
temp,ID
cout,ID
<<,operator
a,ID
return,keyword
0,int
